fecha,Provincia,Confirmados,Fallecidos,Muestras,Poblacion,Recuperados
2020-03-27 00:00:00,Azua,1,0,0,223921,0
2020-03-28 00:00:00,Azua,1,0,0,223921,0
2020-03-29 00:00:00,Azua,1,0,0,223921,0
2020-04-06 00:00:00,Azua,1,0,0,223922,0
2020-04-07 00:00:00,Azua,1,0,0,223922,0
2020-04-10 00:00:00,Azua,1,0,0,223922,0
2020-04-11 00:00:00,Azua,1,0,0,223922,0
2020-04-19 00:00:00,Azua,1,0,0,223922,0
2020-04-21 00:00:00,Azua,1,0,0,223922,0
2020-04-23 00:00:00,Azua,1,0,0,223922,0
2020-04-25 00:00:00,Azua,1,0,0,223922,0
2020-05-05 00:00:00,Azua,1,0,0,223929,0
2021-08-23 00:00:00,Azua,1,0,0,223973,0
2022-02-11 00:00:00,Azua,1,0,0,224000,2
2021-12-05 00:00:00,Azua,1,0,0,223984,6
2021-04-26 00:00:00,Azua,1,0,1,223963,0
2022-01-01 00:00:00,Azua,1,0,1,223992,1
2022-04-12 00:00:00,Azua,1,0,1,224016,1
2021-03-29 00:00:00,Azua,1,0,1,223960,11
2022-01-28 00:00:00,Azua,1,0,1,223992,28
2021-08-22 00:00:00,Azua,1,0,1,223973,7
2022-02-27 00:00:00,Azua,1,0,10,224000,0
2022-02-09 00:00:00,Azua,1,0,11,224000,0
2022-03-02 00:00:00,Azua,1,0,11,224008,0
2022-03-28 00:00:00,Azua,1,0,11,224008,0
2022-05-31 00:00:00,Azua,1,0,11,224024,1
2020-08-09 00:00:00,Azua,1,0,11,223936,18
2020-12-27 00:00:00,Azua,1,0,11,223952,2
2021-02-22 00:00:00,Azua,1,0,11,223957,2
2020-11-06 00:00:00,Azua,1,0,12,223947,2
2021-11-23 00:00:00,Azua,1,0,12,223981,7
2021-11-17 00:00:00,Azua,1,0,13,223981,2
2020-09-04 00:00:00,Azua,1,0,13,223944,4
2021-07-13 00:00:00,Azua,1,0,14,223971,5
2021-01-11 00:00:00,Azua,1,0,16,223955,8
2021-08-15 00:00:00,Azua,1,0,17,223973,0
2021-09-03 00:00:00,Azua,1,0,17,223976,0
2021-12-03 00:00:00,Azua,1,0,17,223984,2
2021-12-21 00:00:00,Azua,1,0,18,223984,0
2022-02-20 00:00:00,Azua,1,0,18,224000,2
2021-12-25 00:00:00,Azua,1,0,19,223984,0
2020-11-04 00:00:00,Azua,1,0,2,223947,0
2020-11-30 00:00:00,Azua,1,0,2,223947,0
2021-10-04 00:00:00,Azua,1,0,2,223979,0
2022-04-04 00:00:00,Azua,1,0,2,224016,0
2020-12-28 00:00:00,Azua,1,0,2,223952,4
2021-06-06 00:00:00,Azua,1,0,2,223968,9
2021-12-04 00:00:00,Azua,1,0,20,223984,1
2022-07-01 00:00:00,Azua,1,0,22,224039,4
2022-02-26 00:00:00,Azua,1,0,23,224000,0
2022-01-24 00:00:00,Azua,1,0,23,223992,19
2022-03-19 00:00:00,Azua,1,0,24,224008,2
2022-05-26 00:00:00,Azua,1,0,26,224024,0
2022-06-08 00:00:00,Azua,1,0,26,224032,3
2021-04-23 00:00:00,Azua,1,0,27,223963,10
2022-06-03 00:00:00,Azua,1,0,28,224032,5
2022-02-25 00:00:00,Azua,1,0,29,224000,0
2021-09-13 00:00:00,Azua,1,0,29,223976,5
2020-10-08 00:00:00,Azua,1,0,29,223948,6
2022-05-07 00:00:00,Azua,1,0,3,224024,1
2021-08-18 00:00:00,Azua,1,0,3,223973,8
2022-03-03 00:00:00,Azua,1,0,30,224008,2
2021-01-12 00:00:00,Azua,1,0,31,223955,4
2020-10-14 00:00:00,Azua,1,0,32,223948,27
2022-03-24 00:00:00,Azua,1,0,32,224008,6
2022-05-23 00:00:00,Azua,1,0,34,224024,'-2
2021-08-27 00:00:00,Azua,1,0,34,223973,7
2020-09-27 00:00:00,Azua,1,0,35,223944,3
2022-06-13 00:00:00,Azua,1,0,36,224032,0
2022-02-10 00:00:00,Azua,1,0,4,224000,12
2020-12-17 00:00:00,Azua,1,0,42,223952,0
2022-04-21 00:00:00,Azua,1,0,5,224016,0
2021-08-21 00:00:00,Azua,1,0,5,223973,3
2021-07-08 00:00:00,Azua,1,0,5,223971,4
2022-02-07 00:00:00,Azua,1,0,5,224000,6
2022-06-10 00:00:00,Azua,1,0,5,224032,6
2020-08-24 00:00:00,Azua,1,0,5,223936,8
2021-12-27 00:00:00,Azua,1,0,50,223984,2
2021-12-11 00:00:00,Azua,1,0,51,223984,12
2020-10-13 00:00:00,Azua,1,0,51,223948,2
2020-11-19 00:00:00,Azua,1,0,52,223947,3
2022-05-25 00:00:00,Azua,1,0,54,224024,3
2020-10-28 00:00:00,Azua,1,0,56,223948,1
2020-09-08 00:00:00,Azua,1,0,6,223944,0
2020-11-09 00:00:00,Azua,1,0,6,223947,1
2021-03-22 00:00:00,Azua,1,0,6,223960,10
2021-06-30 00:00:00,Azua,1,0,6,223968,11
2021-10-02 00:00:00,Azua,1,0,6,223979,11
2021-12-18 00:00:00,Azua,1,0,6,223984,2
2022-03-23 00:00:00,Azua,1,0,67,224008,7
2020-09-10 00:00:00,Azua,1,0,7,223944,4
2021-04-05 00:00:00,Azua,1,0,7,223963,5
2022-02-12 00:00:00,Azua,1,0,70,224000,19
2020-11-20 00:00:00,Azua,1,0,71,223947,3
2021-08-03 00:00:00,Azua,1,0,76,223973,1
2021-12-28 00:00:00,Azua,1,0,8,223984,0
2021-03-08 00:00:00,Azua,1,0,8,223960,1
2021-04-19 00:00:00,Azua,1,0,8,223963,2
2022-05-13 00:00:00,Azua,1,0,9,224024,0
2021-11-28 00:00:00,Azua,1,0,9,223981,1
2022-04-05 00:00:00,Azua,1,0,9,224016,1
2020-11-25 00:00:00,Azua,1,0,9,223947,2
2021-09-20 00:00:00,Azua,1,0,9,223976,3
2020-03-23 00:00:00,Azua,'-1,0,0,223921,0
2022-05-06 00:00:00,Azua,'-1,0,50,224024,1
2020-05-14 00:00:00,Azua,10,0,0,223929,0
2020-09-03 00:00:00,Azua,10,0,11,223944,11
2022-01-02 00:00:00,Azua,10,0,17,223992,'-1
2020-06-16 00:00:00,Azua,10,0,27,223939,3
2021-01-19 00:00:00,Azua,10,0,29,223955,0
2020-06-24 00:00:00,Azua,10,0,42,223939,2
2021-11-16 00:00:00,Azua,10,0,46,223981,9
2022-06-18 00:00:00,Azua,10,0,53,224032,4
2021-02-23 00:00:00,Azua,10,0,53,223957,8
2020-08-10 00:00:00,Azua,10,0,55,223936,33
2021-02-13 00:00:00,Azua,10,0,61,223957,9
2021-06-07 00:00:00,Azua,10,0,63,223968,2
2021-09-26 00:00:00,Azua,10,0,67,223976,1
2021-02-11 00:00:00,Azua,10,0,71,223957,11
2021-08-13 00:00:00,Azua,10,0,79,223973,1
2021-04-09 00:00:00,Azua,10,0,85,223963,2
2020-11-17 00:00:00,Azua,10,0,93,223947,2
2021-04-29 00:00:00,Azua,10,0,96,223963,23
2020-08-04 00:00:00,Azua,103,0,175,223936,14
2021-04-11 00:00:00,Azua,11,0,148,223963,7
2020-06-15 00:00:00,Azua,11,0,20,223939,3
2021-08-17 00:00:00,Azua,11,0,337,223973,14
2020-07-04 00:00:00,Azua,11,0,40,223931,7
2021-04-06 00:00:00,Azua,11,0,54,223963,9
2020-05-26 00:00:00,Azua,11,0,55,223929,1
2022-01-26 00:00:00,Azua,11,0,61,223992,35
2021-11-15 00:00:00,Azua,11,0,62,223981,19
2021-02-17 00:00:00,Azua,11,0,73,223957,7
